CareerField,CareerLevel,EducationLevel,MonthlyIncome
Manufacturing,Mid,Bachelor's Degree,6029
Fishing,Mid,Master's Degree,9357
Finance,Senior,Associate Degree,4021
Retail,Senior,Master's Degree,8250
Manufacturing,Entry,Bachelor's Degree,6456
Logistics,Entry,High School,4676
Legal,Entry,PhD,9318
Education,Mid,Associate Degree,4697
Media,Entry,Associate Degree,4221
Transportation,Mid,Associate Degree,4465
Construction,Senior,Bachelor's Degree,7534
Real Estate,Senior,High School,3257
Logistics,Mid,Associate Degree,5091
Engineering,Mid,Associate Degree,5020
Construction,Entry,High School,4694
Finance,Entry,Bachelor's Degree,5901
Education,Mid,PhD,8565
Government,Senior,PhD,8155
Forestry,Mid,Bachelor's Degree,6801
Agriculture,Senior,Associate Degree,4503
Logistics,Entry,Master's Degree,7862
Government,Entry,High School,4263
Defense,Senior,Associate Degree,4716
Media,Entry,High School,3875
Defense,Entry,Bachelor's Degree,6645
Transportation,Senior,Bachelor's Degree,6890
Defense,Entry,Master's Degree,8606
Media,Mid,High School,3786
Education,Entry,Associate Degree,3863
Defense,Entry,Associate Degree,5657
Media,Mid,Bachelor's Degree,6918
Retail,Entry,Bachelor's Degree,7514
Media,Entry,Bachelor's Degree,7513
Agriculture,Mid,High School,4173
Retail,Entry,High School,3462
Defense,Entry,PhD,8246
Finance,Mid,High School,4005
Manufacturing,Mid,Bachelor's Degree,5486
Technology,Entry,Associate Degree,3934
Energy,Mid,Bachelor's Degree,6056
Mining,Mid,Master's Degree,8466
Manufacturing,Entry,Master's Degree,7885
Media,Mid,Associate Degree,4595
Finance,Mid,High School,4026
Legal,Senior,Associate Degree,4484
Manufacturing,Mid,Associate Degree,4693
Construction,Entry,Associate Degree,5299
Retail,Senior,High School,4091
Transportation,Mid,High School,4452
Engineering,Entry,Bachelor's Degree,7601
Education,Mid,Bachelor's Degree,6028
Construction,Senior,Associate Degree,3957
Agriculture,Entry,Associate Degree,3822
Retail,Mid,High School,4013
Healthcare,Mid,High School,3593
Technology,Senior,Associate Degree,4701
Government,Entry,High School,4648
Legal,Entry,Master's Degree,8843
Technology,Mid,Master's Degree,8069
Transportation,Senior,Associate Degree,4394
Finance,Entry,Bachelor's Degree,7840
Fishing,Senior,Bachelor's Degree,7624
Media,Entry,Master's Degree,7735
Media,Mid,High School,3601
Finance,Entry,Associate Degree,5519
Forestry,Senior,Bachelor's Degree,6488
Mining,Senior,Associate Degree,5353
Real Estate,Mid,High School,4537
Transportation,Mid,Bachelor's Degree,6047
Education,Mid,Associate Degree,5686
Fishing,Mid,Master's Degree,9235
Energy,Senior,Bachelor's Degree,6973
Government,Entry,Bachelor's Degree,5527
Retail,Senior,Associate Degree,4869
Construction,Entry,Associate Degree,5364
Engineering,Senior,Master's Degree,7141
Media,Mid,Bachelor's Degree,5803
Mining,Entry,Master's Degree,8732
Healthcare,Entry,Associate Degree,5682
Finance,Entry,High School,3704
Real Estate,Senior,Associate Degree,4979
Media,Entry,High School,3988
Education,Mid,Bachelor's Degree,7304
Energy,Senior,Master's Degree,6982
Retail,Senior,Associate Degree,5140
Mining,Mid,Bachelor's Degree,6857
Legal,Senior,Associate Degree,4774
Transportation,Senior,Bachelor's Degree,6543
Retail,Entry,High School,4308
Transportation,Entry,Master's Degree,8071
Finance,Entry,High School,3434
Legal,Mid,PhD,10091
Mining,Entry,Bachelor's Degree,7061
Defense,Mid,Master's Degree,6867
Logistics,Entry,PhD,10902
Construction,Entry,Master's Degree,6430
Healthcare,Entry,High School,4758
Fishing,Senior,High School,3302
Fishing,Entry,Master's Degree,9314
Agriculture,Entry,High School,3526
Legal,Senior,Bachelor's Degree,5923
Finance,Entry,Bachelor's Degree,5565
Agriculture,Entry,Master's Degree,7405
Manufacturing,Senior,Bachelor's Degree,7682
Energy,Mid,High School,3501
Retail,Mid,High School,3976
Fishing,Entry,Master's Degree,8124
Logistics,Entry,High School,3868
Legal,Mid,High School,4456
Logistics,Senior,Associate Degree,5640
Government,Senior,Master's Degree,9154
Mining,Entry,PhD,11509
Education,Senior,Bachelor's Degree,6843
Government,Mid,High School,3370
Legal,Entry,High School,3736
Finance,Mid,High School,4534
Real Estate,Entry,Master's Degree,6564
Healthcare,Entry,Bachelor's Degree,5412
Education,Senior,Bachelor's Degree,6866
Manufacturing,Entry,Bachelor's Degree,6919
Real Estate,Mid,Bachelor's Degree,7905
Logistics,Mid,Bachelor's Degree,7004
Government,Mid,High School,3957
Finance,Senior,Bachelor's Degree,6063
Government,Entry,Associate Degree,5048
Education,Mid,Master's Degree,8859
Engineering,Mid,High School,3229
Media,Entry,Bachelor's Degree,5407
Government,Entry,Associate Degree,5599
Construction,Entry,Associate Degree,5390
Retail,Entry,Associate Degree,5059
Forestry,Mid,Bachelor's Degree,7871
Logistics,Mid,Master's Degree,6759
Healthcare,Mid,Bachelor's Degree,8008
Manufacturing,Entry,High School,4672
Healthcare,Mid,Bachelor's Degree,6950
Energy,Mid,Associate Degree,5219
Healthcare,Senior,High School,4616
Media,Mid,Associate Degree,5009
Finance,Entry,High School,4610
Energy,Senior,Associate Degree,4661
Healthcare,Mid,Associate Degree,5574
Real Estate,Entry,Bachelor's Degree,6582
Defense,Mid,Bachelor's Degree,5393
Technology,Entry,PhD,11601
Healthcare,Entry,Associate Degree,4257
Real Estate,Entry,High School,4415
Retail,Senior,Bachelor's Degree,7068
Mining,Senior,Master's Degree,9554
Education,Entry,High School,3353
Construction,Mid,Master's Degree,8495
Fishing,Mid,Bachelor's Degree,7130
Government,Senior,Bachelor's Degree,7103
Logistics,Senior,Associate Degree,3959
Legal,Entry,High School,4611
Logistics,Senior,Bachelor's Degree,7082
Technology,Entry,Master's Degree,7238
Technology,Entry,Master's Degree,9142
Media,Senior,High School,3720
Legal,Mid,Associate Degree,4588
Construction,Entry,Bachelor's Degree,6930
Education,Entry,Master's Degree,8191
Legal,Entry,Associate Degree,4427
Government,Senior,High School,3852
Legal,Mid,Master's Degree,6409
Technology,Mid,Associate Degree,4802
Energy,Mid,Associate Degree,4907
Education,Entry,High School,4274
Transportation,Mid,Bachelor's Degree,6805
Real Estate,Senior,Bachelor's Degree,5855
Energy,Entry,Associate Degree,5247
Media,Entry,Associate Degree,5517
Mining,Mid,High School,4312
Construction,Mid,Associate Degree,4101
Defense,Entry,Bachelor's Degree,6708
Logistics,Entry,High School,3799
Defense,Mid,Bachelor's Degree,6729
Transportation,Entry,Bachelor's Degree,7535
Government,Senior,Bachelor's Degree,5707
Finance,Mid,Associate Degree,4918
Education,Mid,Bachelor's Degree,5878
Legal,Mid,Bachelor's Degree,7458
Fishing,Mid,High School,3594
Forestry,Entry,Master's Degree,8092
Healthcare,Senior,Bachelor's Degree,7106
Logistics,Entry,Master's Degree,7183
Manufacturing,Mid,Master's Degree,8535
Finance,Mid,Associate Degree,4168
Healthcare,Entry,Associate Degree,4162
Real Estate,Entry,Bachelor's Degree,6432
Manufacturing,Entry,Bachelor's Degree,7735
Healthcare,Entry,Associate Degree,4284
Forestry,Entry,Bachelor's Degree,7566
Transportation,Entry,Associate Degree,4132
Legal,Entry,High School,3906
Transportation,Mid,Bachelor's Degree,7505
Energy,Senior,Bachelor's Degree,5671
Engineering,Mid,High School,3702
Fishing,Entry,Bachelor's Degree,6935
Agriculture,Entry,Associate Degree,5348
Agriculture,Mid,Associate Degree,4105
Legal,Mid,Associate Degree,4613
Finance,Senior,Master's Degree,7185
Agriculture,Entry,Bachelor's Degree,5831
Legal,Entry,High School,3507
Legal,Mid,Associate Degree,4555
Finance,Mid,Associate Degree,5643
Engineering,Mid,Associate Degree,3981
Manufacturing,Entry,Bachelor's Degree,7139
Logistics,Entry,Associate Degree,4928
Healthcare,Entry,Associate Degree,4808
Mining,Mid,High School,3545
Retail,Mid,Bachelor's Degree,6737
Forestry,Mid,High School,3923
Mining,Senior,Bachelor's Degree,6385
Healthcare,Mid,Master's Degree,7630
Government,Entry,Master's Degree,7179
Forestry,Entry,Bachelor's Degree,6462
Finance,Entry,Bachelor's Degree,5794
Logistics,Mid,High School,3843
Real Estate,Mid,Associate Degree,5574
Defense,Entry,Associate Degree,5325
Finance,Mid,Associate Degree,3860
Healthcare,Mid,Master's Degree,7283
Transportation,Senior,Master's Degree,8312
Fishing,Mid,Associate Degree,5310
Energy,Mid,Bachelor's Degree,6382
Fishing,Entry,PhD,8284
Government,Mid,Master's Degree,9089
Defense,Senior,Master's Degree,8607
Defense,Senior,Associate Degree,4239
Logistics,Entry,Associate Degree,4439
Forestry,Mid,Associate Degree,5131
Manufacturing,Entry,Associate Degree,4319
Transportation,Entry,Bachelor's Degree,5905
Transportation,Entry,Bachelor's Degree,5976
Education,Entry,Associate Degree,4529
Fishing,Mid,High School,4749
Engineering,Entry,Associate Degree,4969
Finance,Entry,Bachelor's Degree,5354
Education,Senior,Bachelor's Degree,7476
Manufacturing,Mid,Master's Degree,9008
Logistics,Entry,High School,3687
Media,Mid,Bachelor's Degree,7872
Transportation,Mid,Associate Degree,5357
Mining,Senior,Bachelor's Degree,7154
Logistics,Senior,Master's Degree,7736
Education,Entry,High School,4154
Education,Mid,PhD,9949
Fishing,Entry,High School,3689
Engineering,Mid,Associate Degree,5613
Healthcare,Entry,Master's Degree,9256
Fishing,Entry,High School,4832
Defense,Senior,Master's Degree,7063
Mining,Senior,High School,4731
Education,Senior,Associate Degree,5149
Agriculture,Entry,Associate Degree,4992
Real Estate,Mid,Master's Degree,7190
Defense,Senior,High School,4733
Construction,Senior,Bachelor's Degree,7020
Retail,Entry,Master's Degree,8453
Logistics,Entry,High School,4413
Healthcare,Entry,Bachelor's Degree,6950
Education,Entry,High School,4437
Legal,Senior,Bachelor's Degree,5640
Healthcare,Mid,Master's Degree,7329
Education,Entry,Master's Degree,8812
Education,Senior,High School,3833
Manufacturing,Mid,Master's Degree,7554
Legal,Entry,Associate Degree,4983
Legal,Mid,Associate Degree,4576
Construction,Entry,Bachelor's Degree,5672
Forestry,Mid,High School,3585
Finance,Entry,Associate Degree,5643
Energy,Mid,Associate Degree,3832
Legal,Mid,High School,3523
Government,Mid,Master's Degree,9223
Finance,Senior,Associate Degree,4434
Government,Mid,Master's Degree,7130
Manufacturing,Entry,High School,4243
Agriculture,Entry,Bachelor's Degree,7386
Manufacturing,Entry,Master's Degree,6585
Defense,Entry,Bachelor's Degree,5570
Manufacturing,Entry,Associate Degree,4821
Logistics,Mid,Bachelor's Degree,7580
Energy,Entry,PhD,9045
Technology,Entry,Master's Degree,8280
Finance,Mid,Bachelor's Degree,6307
Media,Mid,Master's Degree,8012
Transportation,Entry,High School,3270
Agriculture,Mid,Bachelor's Degree,6507
Manufacturing,Mid,Associate Degree,5488
Construction,Mid,Bachelor's Degree,7317
Finance,Entry,Master's Degree,7685
Technology,Senior,Associate Degree,4617
Transportation,Mid,High School,3476
Manufacturing,Mid,High School,3254
Manufacturing,Entry,Bachelor's Degree,7507
Forestry,Entry,Associate Degree,5391
Government,Entry,Associate Degree,4132
Finance,Mid,Master's Degree,7506
Real Estate,Entry,Master's Degree,8328
Manufacturing,Entry,Associate Degree,4834
Education,Mid,Associate Degree,5560
Retail,Entry,Master's Degree,9122
Construction,Mid,Master's Degree,6569
Defense,Entry,Bachelor's Degree,5606
Mining,Mid,Bachelor's Degree,5784
Transportation,Mid,PhD,11549
Finance,Entry,Master's Degree,6502
Finance,Entry,Associate Degree,5403
Energy,Mid,Master's Degree,7711
Forestry,Senior,Master's Degree,7580
Legal,Entry,High School,3615
Construction,Entry,PhD,9587
Defense,Mid,Associate Degree,4924
Energy,Entry,Bachelor's Degree,5876
Mining,Senior,Associate Degree,5366
Energy,Mid,Bachelor's Degree,5950
Manufacturing,Mid,Bachelor's Degree,7686
Fishing,Mid,Associate Degree,4358
Retail,Mid,Bachelor's Degree,6294
Fishing,Mid,High School,4403
Construction,Mid,Bachelor's Degree,7936
Construction,Mid,Master's Degree,9481
Manufacturing,Mid,Bachelor's Degree,7081
Forestry,Senior,High School,3499
Technology,Mid,Master's Degree,6678
Fishing,Entry,High School,3937
Mining,Mid,High School,3977
Energy,Senior,Master's Degree,6742
Manufacturing,Mid,Associate Degree,4251
Construction,Entry,Associate Degree,4193
Finance,Mid,Associate Degree,3934
Media,Entry,Master's Degree,6740
Forestry,Mid,High School,4146
Defense,Entry,Master's Degree,7541
Mining,Mid,Associate Degree,4636
Media,Mid,Associate Degree,5547
Fishing,Mid,Master's Degree,8785
Real Estate,Senior,Associate Degree,3993
Agriculture,Mid,Associate Degree,4171
Technology,Entry,High School,3240
Mining,Mid,High School,4597
Forestry,Entry,Associate Degree,5441
Construction,Mid,High School,3266
Construction,Entry,Bachelor's Degree,5586
Media,Mid,Master's Degree,7834
Construction,Entry,Bachelor's Degree,7281
Legal,Senior,Master's Degree,7111
Healthcare,Senior,Associate Degree,5376
Engineering,Mid,Bachelor's Degree,6407
Engineering,Entry,Associate Degree,4357
Media,Senior,Bachelor's Degree,7720
Government,Mid,Associate Degree,5169
Education,Mid,Bachelor's Degree,6628
Agriculture,Mid,Master's Degree,7789
Legal,Entry,Bachelor's Degree,5701
Manufacturing,Senior,Associate Degree,4388
Finance,Entry,Master's Degree,7549
Agriculture,Mid,Bachelor's Degree,7394
Technology,Senior,Master's Degree,7288
Manufacturing,Mid,Associate Degree,5039
Defense,Entry,Bachelor's Degree,6626
Manufacturing,Entry,Associate Degree,5518
Legal,Entry,Bachelor's Degree,5522
Engineering,Mid,Bachelor's Degree,7245
Manufacturing,Entry,Bachelor's Degree,7314
Real Estate,Senior,Master's Degree,7022
Education,Entry,Associate Degree,4587
Mining,Mid,Bachelor's Degree,6364
Legal,Senior,Master's Degree,6580
Transportation,Entry,PhD,9579
Legal,Mid,Associate Degree,5020
Transportation,Senior,High School,3636
Retail,Mid,Bachelor's Degree,6366
Agriculture,Entry,Associate Degree,5578
Defense,Senior,Master's Degree,8185
Retail,Mid,Master's Degree,6738
Construction,Mid,High School,4672
Finance,Mid,High School,3255
Mining,Mid,Bachelor's Degree,5538
Finance,Mid,Bachelor's Degree,8014
Defense,Mid,High School,4401
Media,Entry,Bachelor's Degree,6748
Mining,Mid,Associate Degree,4456
Defense,Entry,Bachelor's Degree,6488
Finance,Entry,High School,3838
Mining,Entry,Associate Degree,4837
Defense,Entry,Associate Degree,4878
Logistics,Entry,Master's Degree,6780
Logistics,Mid,High School,4038
Agriculture,Mid,Master's Degree,7385
Agriculture,Entry,Associate Degree,4964
Agriculture,Mid,Bachelor's Degree,6993
Transportation,Senior,Associate Degree,4494
Retail,Mid,Associate Degree,4471
Engineering,Entry,Bachelor's Degree,5954
Manufacturing,Entry,Associate Degree,3847
Mining,Mid,Bachelor's Degree,6475
Logistics,Mid,Bachelor's Degree,6972
Healthcare,Senior,Associate Degree,3822
Defense,Mid,High School,3331
Manufacturing,Entry,Bachelor's Degree,5650
Logistics,Senior,Bachelor's Degree,5637
Healthcare,Entry,PhD,8848
Finance,Entry,Bachelor's Degree,6651
Manufacturing,Mid,Associate Degree,4211
Real Estate,Entry,Bachelor's Degree,6727
Construction,Mid,Master's Degree,8404
Government,Entry,Master's Degree,8054
Engineering,Entry,Bachelor's Degree,5771
Mining,Entry,High School,3399
Manufacturing,Entry,Associate Degree,4284
Finance,Entry,Associate Degree,5610
Media,Entry,High School,4584
Real Estate,Entry,Bachelor's Degree,5424
Agriculture,Entry,Associate Degree,5595
Education,Entry,Master's Degree,9065
Education,Mid,High School,3413
Mining,Entry,Associate Degree,4105
Fishing,Entry,Master's Degree,7761
Media,Senior,Associate Degree,4794
Legal,Entry,High School,4593
Retail,Entry,Master's Degree,6721
Retail,Mid,Associate Degree,5201
Construction,Senior,Master's Degree,7757
Legal,Mid,Master's Degree,8874
Manufacturing,Entry,Bachelor's Degree,5500
Defense,Mid,High School,3282
Retail,Entry,Bachelor's Degree,5929
Energy,Mid,Master's Degree,7550
Defense,Mid,Associate Degree,4718
Government,Mid,Associate Degree,5547
Healthcare,Entry,High School,3382
Media,Entry,Bachelor's Degree,5666
Education,Mid,Associate Degree,5095
Finance,Mid,Bachelor's Degree,7816
Energy,Senior,Bachelor's Degree,5890
Energy,Senior,Bachelor's Degree,5715
Legal,Mid,Bachelor's Degree,6599
Education,Entry,Bachelor's Degree,5765
Logistics,Entry,Bachelor's Degree,6399
Forestry,Mid,PhD,9697
Fishing,Senior,Master's Degree,8828
Education,Mid,Bachelor's Degree,5584
Legal,Mid,Bachelor's Degree,7092
Technology,Senior,Bachelor's Degree,7762
Fishing,Senior,Bachelor's Degree,6057
Legal,Entry,Bachelor's Degree,6385
Fishing,Entry,Associate Degree,4146
Construction,Senior,Bachelor's Degree,6585
Engineering,Mid,High School,4136
Logistics,Senior,Bachelor's Degree,5959
Mining,Senior,Associate Degree,4117
Healthcare,Mid,Master's Degree,8652
Transportation,Senior,Associate Degree,4151
Forestry,Entry,Associate Degree,5683
Finance,Mid,Bachelor's Degree,6098
Logistics,Entry,Bachelor's Degree,7190
Education,Entry,Master's Degree,9441
Legal,Mid,Associate Degree,4427
Media,Senior,PhD,11328
Technology,Entry,Master's Degree,6665
Mining,Entry,Associate Degree,4106
Real Estate,Mid,High School,4821
Defense,Entry,Bachelor's Degree,5705
Education,Mid,Master's Degree,8792
Energy,Mid,Associate Degree,5669
Construction,Mid,Associate Degree,4332
Agriculture,Entry,Bachelor's Degree,6745
Healthcare,Mid,Associate Degree,4744
Manufacturing,Entry,Bachelor's Degree,6952
Retail,Senior,High School,4008
Retail,Mid,Master's Degree,7430
Logistics,Senior,Associate Degree,3844
Defense,Senior,Master's Degree,9422
Retail,Senior,High School,4323
Transportation,Entry,Associate Degree,4502
Mining,Mid,Master's Degree,8144
Agriculture,Senior,Bachelor's Degree,5790
Technology,Mid,High School,4271
Engineering,Mid,High School,4782
Transportation,Entry,Bachelor's Degree,6360
Finance,Mid,Master's Degree,9412
Fishing,Entry,Associate Degree,5476
Forestry,Mid,Associate Degree,5288
Defense,Entry,High School,3906
Agriculture,Entry,Bachelor's Degree,7182
Finance,Entry,Master's Degree,8566
Mining,Mid,High School,3260
Manufacturing,Mid,Master's Degree,8790
Transportation,Mid,Bachelor's Degree,6029
Logistics,Mid,Master's Degree,9532
Manufacturing,Senior,High School,4033
Energy,Senior,High School,3902
Legal,Entry,Bachelor's Degree,5388
Transportation,Mid,Master's Degree,7927
Mining,Entry,Associate Degree,3966
Construction,Mid,Bachelor's Degree,7874
Mining,Mid,Bachelor's Degree,7624
Logistics,Entry,Associate Degree,5192
Forestry,Entry,Bachelor's Degree,6507
Healthcare,Mid,Bachelor's Degree,6662
